Root Domain,Location on Site,Primary Domain,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,X,Twitter,Facebook,LinkedIn,Google,GitHub,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CMS Platform,CRM Platform,Marketing Automation Platform,Payment Platforms,CRuX Rank,Cloudflare Rank,Agency,Hosting Provider,AI,Exclusion,Compliance
romisconsultants.com.ng,romisconsultants.com.ng,romisconsultants.com.ng,$0,"",41,"","",Romis Consultants Ltd,Business And Industrial,"","","","",ph:+1-818-608-0805,info@romisconsultants.com.ng,"",twitter.com/RomisConsultant,facebook.com/www.romisconsultants.com,"","","","","","",LA,100231,NG,2016-03-21,2025-10-04,2025-10-04,2025-10-04,"",Plesk,"","","","","","",SingleHop,"","",California CCPA
kmcresultportal.com.ng,kmcresultportal.com.ng,kmcresultportal.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-04-08,2025-09-06,2025-09-06,2025-09-06,"",Plesk,"","","","","","",Hetzner,"","",""
kippispayroll.org.ng,kippispayroll.org.ng,kippispayroll.org.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-04-08,2025-09-06,2025-09-06,2025-09-06,"",Plesk,"","","","","","",Logic Boxes;Unified Layer,"","",""
marbiskreations.com.ng,marbiskreations.com.ng,marbiskreations.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-08-28,2025-09-06,2025-09-06,2025-09-06,"",Plesk;WordPress;WordPress 6.8,"","","","","","","","","",""
fggcjalingo.sch.ng,fggcjalingo.sch.ng,fggcjalingo.sch.ng,$0,"","","","","",Unknown,"","","","","","","","","","","","","","",Mayo Dasa,TR,660213,NG,2023-01-04,2025-05-24,2025-09-06,2025-09-06,"",WordPress;WordPress 6.8,"","","","","","",Sharktech;Shark Tech;Oracle Cloud,"","",""
smartcloud.ng,smartcloud.ng,smartcloud.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-06-18,2025-09-06,2025-09-06,2025-09-06,"","","","","","","","",Sharktech;Shark Tech,"","",""
fetem.com.ng,fetem.com.ng,fetem.com.ng,$0,"","","","",www.fetem.com.ng,Unknown,"","","","","","","","","","","","","","","","","",NG,2020-10-20,2025-09-06,2025-10-11,2025-10-11,"",Plesk,"","","",Top 50m,"","",Cloudflare Hosting,"","",""
thesentinel.ng,thesentinel.ng,thesentinel.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-10-15,2025-09-06,2025-09-06,2025-09-06,"","","","","","","","",Microsoft Azure;Microsoft,"","",""
mutualbenefitsmfb.com.ng,mutualbenefitsmfb.com.ng,mutualbenefitsmfb.com.ng,$60,"",9,"","",Mutual Benefits Microfinance Bank Ltd,Finance,"","","","","",info@mutualbenefitsmfb.com.ng;enquiries@mutualbenefitsmfb.com.ng,"",twitter.com/mutualbenmfb,"","","","","","","","","","",2018-09-12,2025-09-06,2025-10-10,2025-10-10,"",Plesk,"","","",Top 50m,"","",Hetzner,"","",""
gdlotto.ng,gdlotto.ng,gdlotto.ng,"$1,454","","","","",GDLotto,Unknown,"804,995","","","","","","","","","","","","","",Oregun,LA,100281,NG,2024-11-19,2025-05-26,2025-10-10,2025-10-10,"","","","","",Top 10m,"","",Cloudflare Hosting,"","",""
nibss-plc.com.ng,nibsswebserver.nibss-plc.com.ng,nibss-plc.com.ng,"$4,232","$22,366","2,584","",61,NIBSS,Business And Industrial,"276,645","267,264","506,733","",ph:+1-212-714-0177,info@nibss-plc.com.ng;crmabuja@nibss-plc.com.ng,x.com/nibss_ng,twitter.com/nibss_ng,facebook.com/nibssplc,"","","","","",Abuja,FCT,900231,NG,2024-04-09,2025-09-28,2025-10-10,2025-10-10,WooCommerce Checkout,WordPress,Freshworks CRM,"","",Top 50m,Top 500k,"",Amazon Elastic Load Balancing;Cloudflare Hosting;Amazon;Codero;SendInBlue Hosting,Freshworks Bot,"",""



"Compliance Notice: PII is removed for EU/CCPA. Visit https://builtwith.com/compliance for options and more information. Do Not Contact entries are self removed from BuiltWith. Please see https://builtwith.com/terms - you cannot use this list to bulk send emails. AU Customers cannot access harvested emails by law."
